Year,avg_price
1923,40000.0
1930,150000.0
1966,245000.0
1974,290000.0
1975,550000.0
1978,162500.0
1979,551666.67
1980,246818.36
1981,245000.0
1982,513750.0
1983,145000.0
1984,119181.82
1985,226700.0
1986,154222.22
1987,170571.43
1988,113000.0
1989,177500.0
1990,206058.82
1991,171400.0
1992,163500.0
1993,390000.0
1994,176000.0
1995,204368.42
1996,245350.0
1997,195882.35
1998,292227.58
1999,180222.22
2000,278580.65
2001,309500.0
2002,173937.5
2003,250107.14
2004,162113.33
2005,187919.35
2006,214689.19
2007,267056.0
2008,244062.99
2009,211021.18
2010,237399.99
2011,215417.49
2012,224863.93
2013,258814.33
2014,280824.68
2015,323675.0
2016,323536.34
2017,319378.72
2018,362276.06
2019,433121.8
2020,536776.12
2021,612142.86
2022,538333.33
