City,listings,avg_price
Piliyandala,676,301357.25
Kandy City,176,265018.75
Boralesgamuwa,150,284072.0
Bandaragama,146,198136.99
Kurunegala City,145,312282.76
Gampaha City,143,248716.78
Jaffna City,114,394535.09
Kottawa,106,199146.23
Galle City,98,389408.16
Negombo,96,413161.56
Anuradhapura City,79,301424.05
Ampara City,75,332533.33
Polonnaruwa City,73,324465.74
Akkarepattu,71,360647.89
Batticaloa City,68,365588.24
Moratuwa,66,208189.39
Kalutara City,56,318191.07
Nugegoda,53,333490.6
Matara City,51,284982.35
Ratnapura City,51,305823.53
Katunayake,50,276180.0
