Brand,oldest_year,newest_year,oldest_avg_price,newest_avg_price,retention_ratio
Kawasaki,1985,2019,67000.0,820000.0,12.24
Aprilia,2004,2019,40000.0,400000.0,10.0
TVS,2000,2021,90000.0,627500.0,6.97
Hero,1923,2022,40000.0,250000.0,6.25
Yamaha,1980,2022,177501.0,910000.0,5.13
Honda,1930,2022,150000.0,627500.0,4.18
Bajaj,1987,2022,125000.0,462500.0,3.7
Suzuki,1978,2021,200000.0,660000.0,3.3
Ranomoto,2002,2021,40000.0,110000.0,2.75
Royal Enfield,2013,2019,1600000.0,2250000.0,1.41
Mahindra,2014,2019,155000.0,197000.0,1.27
Ducati,2010,2010,960000.0,960000.0,1.0
Electra,2019,2019,105000.0,105000.0,1.0
Piaggio,2017,2017,470000.0,470000.0,1.0
Scooty,2019,2019,95000.0,95000.0,1.0
Triumph,2010,2010,2400000.0,2400000.0,1.0
Loncin,2001,2019,100000.0,95000.0,0.95
Demak,2007,2022,282500.0,250000.0,0.88
Vespa,1998,2017,650000.0,550000.0,0.85
KYMCO,2019,2021,1350000.0,1040000.0,0.77
Kinetic,2003,2012,65000.0,45000.0,0.69
KTM,2018,2020,1400000.0,827000.0,0.59
Minnelli,2011,2012,220000.0,85000.0,0.39
Other brand,2002,2019,160000.0,60000.0,0.38
